figure,stage_order,stage,item,label,value,unit,measured,n,source_file,source_key,note
fig1,2,1 bit per weight,bits_per_retained_coordinate,qwen-3B,1.000678,bits/coord,measured,12,results/v10/patch_sizes.json,per_target.qwen-3B.bytes_fit[s0.99].bits_per_retained_coordinate,residual over exactly one bit each is the per-tensor scales; the panel prints the max over targets
fig1,3,1% of coordinates,retained_fraction,retained coordinate fraction,0.0100,fraction,measured,6,results/v10/patch_sizes.json,per_target.llama-8B.s0.99.effective_sparsity,1 - effective_sparsity; equals dec coverage.density = 0.01
fig1,3,1% of coordinates,payload_min,"1%-sparse payload, qwen-3B",0.4053,MiB,measured,6,results/v10/patch_sizes.json,patch_range_1pct.payload_only.min_mib,PAYLOAD ONLY: bytes = retained/8 + 2 B per tensor; no support index priced
fig1,3,1% of coordinates,payload_max,"1%-sparse payload, llama-8B",1.6002,MiB,measured,6,results/v10/patch_sizes.json,patch_range_1pct.payload_only.max_mib,PAYLOAD ONLY: bytes = retained/8 + 2 B per tensor; no support index priced
fig1,3,1% of coordinates,per_target_sparse_payload,qwen-3B,0.4053,MiB,measured,12,results/v10/patch_sizes.json,per_target.qwen-3B.s0.99.mib,spread across rows = 0.375 bytes
fig1,3,1% of coordinates,per_target_shippable_entropy_bound,qwen-3B,3.6774,MiB,measured,12,results/v10/patch_sizes.json,per_target.qwen-3B.s0.99.shippable_mib.payload_plus_entropy_bound,payload + information-theoretic floor for naming the support
fig1,3,1% of coordinates,per_target_sparse_payload,gemma-2.6B,0.4389,MiB,measured,12,results/v10/patch_sizes.json,per_target.gemma-2.6B.s0.99.mib,spread across rows = 0.375 bytes
fig1,3,1% of coordinates,per_target_shippable_entropy_bound,gemma-2.6B,3.9837,MiB,measured,12,results/v10/patch_sizes.json,per_target.gemma-2.6B.s0.99.shippable_mib.payload_plus_entropy_bound,payload + information-theoretic floor for naming the support
fig1,3,1% of coordinates,per_target_sparse_payload,llama-3.2B,0.8402,MiB,measured,12,results/v10/patch_sizes.json,per_target.llama-3.2B.s0.99.mib,spread across rows = 0.500 bytes
fig1,3,1% of coordinates,per_target_shippable_entropy_bound,llama-3.2B,7.6268,MiB,measured,12,results/v10/patch_sizes.json,per_target.llama-3.2B.s0.99.shippable_mib.payload_plus_entropy_bound,payload + information-theoretic floor for naming the support
fig1,3,1% of coordinates,per_target_sparse_payload,qwen-7B,0.9802,MiB,measured,12,results/v10/patch_sizes.json,per_target.qwen-7B.s0.99.mib,spread across rows = 0.875 bytes
fig1,3,1% of coordinates,per_target_shippable_entropy_bound,qwen-7B,8.8979,MiB,measured,12,results/v10/patch_sizes.json,per_target.qwen-7B.s0.99.shippable_mib.payload_plus_entropy_bound,payload + information-theoretic floor for naming the support
fig1,3,1% of coordinates,per_target_sparse_payload,phi-3.8B,1.0801,MiB,measured,12,results/v10/patch_sizes.json,per_target.phi-3.8B.s0.99.mib,spread across rows = 0.625 bytes
fig1,3,1% of coordinates,per_target_shippable_entropy_bound,phi-3.8B,9.8057,MiB,measured,12,results/v10/patch_sizes.json,per_target.phi-3.8B.s0.99.shippable_mib.payload_plus_entropy_bound,payload + information-theoretic floor for naming the support
fig1,3,1% of coordinates,per_target_sparse_payload,llama-8B,1.6002,MiB,measured,12,results/v10/patch_sizes.json,per_target.llama-8B.s0.99.mib,spread across rows = 0.625 bytes
fig1,3,1% of coordinates,per_target_shippable_entropy_bound,llama-8B,14.5271,MiB,measured,12,results/v10/patch_sizes.json,per_target.llama-8B.s0.99.shippable_mib.payload_plus_entropy_bound,payload + information-theoretic floor for naming the support
fig1,3,1% of coordinates,shippable_min,"payload + support index, qwen-3B",3.6774,MiB,measured,6,results/v10/patch_sizes.json,patch_range_1pct.with_entropy_bound_index.min_mib,EXCLUDED from the manuscript's headline range
fig1,3,1% of coordinates,shippable_max,"payload + support index, llama-8B",14.5271,MiB,measured,6,results/v10/patch_sizes.json,patch_range_1pct.with_entropy_bound_index.max_mib,EXCLUDED from the manuscript's headline range
fig1,4,effect preserved,C-ref_mean,DEC C-ref mean removal,0.3532,removal,measured,10,results/v10/dec_analysis_v9.json,per_condition.C-ref.ci.point,"cell = (target,axis) mean over 3 rows; v9 integer-item collateral gate (<=4 of 200 MMLU items)"
fig1,4,effect preserved,C-ref_ci_lo,DEC C-ref CI lower,0.2241,removal,measured,10,results/v10/dec_analysis_v9.json,per_condition.C-ref.ci.lo,"NEW IN v10, registered=false: v9 bootstrapped paired differences only"
fig1,4,effect preserved,C-ref_ci_hi,DEC C-ref CI upper,0.4926,removal,measured,10,results/v10/dec_analysis_v9.json,per_condition.C-ref.ci.hi,"NEW IN v10, registered=false: v9 bootstrapped paired differences only"
fig1,4,effect preserved,unanimity,cells with C-ref > C-a,10/10 cells,cells,measured,10,results/v10/dec_analysis_v9.json,unanimity.annotation,comparison = C-ref > C-a
fig1,4,effect preserved,dec_density,DEC panel density,0.0100,fraction,measured,10,results/v10/dec_analysis_v9.json,coverage.density[0],"the DEC edit is the same construction as stage 3: sign(dW) at top-|dW| coordinates, one scale per tensor"
fig1,5,merged patch,callout_dense,llama-8B dense,160.0002,MiB,measured,12,results/v10/patch_sizes.json,per_target.llama-8B.dense.mib,representative target = artifact's own range max
fig1,5,merged patch,callout_sparse,llama-8B at 1%,1.6002,MiB,measured,12,results/v10/patch_sizes.json,per_target.llama-8B.s0.99.mib,representative target = artifact's own range max
fig1,5,merged patch,callout_drop,llama-8B dense / 1% size ratio,99.985,x,derived,12,results/v10/patch_sizes.json,per_target.llama-8B.dense.mib / per_target.llama-8B.s0.99.mib,payload only
fig1,1,full-precision dW,bits_removed_per_weight,magnitude bits removed,15 of 16,bits,derived,6,results/v10/patch_sizes.json,conventions.dense_column_is,bf16 carries 16 bits/coordinate; the patch keeps the sign bit (+ one scale per tensor)
fig1,3,1% of coordinates,removed_coordinate_fraction,coordinates removed by magnitude top-k,0.9900,fraction,measured,6,results/v10/patch_sizes.json,per_target.llama-8B.s0.99.effective_sparsity,the panel prints this as 99%
fig1,0,unit,mib_vs_decimal_mb,decimal MB inflation over MiB,0.048576,fraction,derived,6,results/v10/patch_sizes.json,patch_range_1pct.payload_only.max_mb_decimal / .max_mib - 1,the manuscript prints MB; the table only reproduces under MiB = bytes/2**20
fig1,0,self_check,callout_reproduces_under_decimal_mb,callout_reproduces_under_decimal_mb,False,bool,check,,results/v10/patch_sizes.json,-,build-time consistency check of the artifact against its own per-target rows
fig1,0,self_check,callout_reproduces_under_mib,callout_reproduces_under_mib,True,bool,check,,results/v10/patch_sizes.json,-,build-time consistency check of the artifact against its own per-target rows
fig1,0,self_check,dec_density_matches_size_retained,dec_density_matches_size_retained,True,bool,check,,results/v10/patch_sizes.json,-,build-time consistency check of the artifact against its own per-target rows
fig1,0,self_check,range_max_matches_per_target,range_max_matches_per_target,True,bool,check,,results/v10/patch_sizes.json,-,build-time consistency check of the artifact against its own per-target rows
fig1,0,self_check,range_min_matches_per_target,range_min_matches_per_target,True,bool,check,,results/v10/patch_sizes.json,-,build-time consistency check of the artifact against its own per-target rows
